"design_id","scenario_id_module","innovation_module","module","panel","series","phi_module","N_module","M_module","Q_module","x_order","alpha_nominal","C_nominal","note","innovation_label_module","dist_code","skewness","excess_kurtosis","assumption_status_module","severity_group_module","phi_label_module","alpha_effective","L_module","seed","scenario_id_result","innovation_result","innovation_label_result","assumption_status_result","severity_group_result","phi_result","phi_label_result","N_result","M_result","Q_result","L_result","B_point","B_CI","statistic","coverage","coverage_error","coverage_mcse","gaussian_paired_coverage_error","gaussian_paired_error_mcse","rejection","mean_statistic_finite","ci_subset_coverage","ci_subset_coverage_mcse","n_finite_lengths","mean_length","mean_length_mcse","sd_length","median_length","q25_length","q75_length","q90_length","q95_length","mean_component_length","normalized_mean_length","relative_mean_length_to_raw","disconnected_rate","nonregular_rate","interval_failure_rate","convex_failure_rate"
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"V_oracle",0.94647,-0.00352999999999992,0.000711790271779546,-0.00314,0.000410491277655068,0.05353,1.03776354865385,0.9453,0.00160791650902651,20000,0.10607556822232,6.72485961875941e-05,0.00951038767790472,0.106012849920338,0.0995085061014322,0.112499471320281,0.118296989732635,0.121880365983374,0.10607556822232,1.00006291840903,1.0106906810227,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"raw",0.94372,-0.00627999999999995,0.000728783655140536,-0.00589,0.000417558166664509,0.05628,1.05949862297739,0.94285,0.00164139997410747,20000,0.104953543367972,6.65266476058983e-05,0.0094082887303477,0.104890359407834,0.0984608481821328,0.111307609775007,0.11704617821346,0.120591567752841,0.104953543367972,0.989484653600538,1,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"K_asym_full",0.94662,-0.00337999999999994,0.000710848616795447,-0.00299,0.000410380656370194,0.05338,1.03639106837469,0.9455,0.00160514407453038,20000,0.106147632870317,6.72949834985334e-05,0.00951694783432995,0.106084712178341,0.099575490525028,0.112576291532546,0.118376464299781,0.121963519566645,0.106147632870317,1.000742331995,1.01137731480069,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"K_leading",0.94678,-0.00322,0.000709842458577958,-0.00283,0.000409416154072934,0.05322,1.03466662400135,0.94565,0.00160306078331422,20000,0.106238386577035,6.73534040078399e-05,0.00952520974198815,0.10617473063791,0.0996602242000278,0.112672757966782,0.118478083566477,0.122068240019259,0.106238386577035,1.0015979429365,1.01224201840007,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"VK_asym_full_feasible",0.94874,-0.00125999999999993,0.000697369431506716,-0.00087,0.000416045865189908,0.05126,1.01655811895425,0.94775,0.00157353006803175,20000,0.107403390543087,7.19963663212514e-05,0.0101818237693095,0.107271875303624,0.100322631323977,0.114235064489882,0.1205136492267,0.124416270253963,0.107403390543087,1.01258140770387,1.02334220547968,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"V_feasible",0.94616,-0.00383999999999995,0.00071373142287558,-0.00345,0.000422590535657873,0.05384,1.03922347468468,0.9455,0.00160514407453038,20000,0.106189756594876,7.11684461769043e-05,0.0100647381796398,0.106061156496337,0.0991943769777841,0.112943773559799,0.119153110033716,0.122984431034481,0.106189756594876,1.0011394675053,1.01177867070738,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"VK_asym_full_oracle",0.94871,-0.0012899999999999,0.000697562440932709,-9e-04,0.000405701301372647,0.0512899999999999,1.01513003375808,0.9479,0.00157139412624586,20000,0.107283080285439,6.80261609777859e-05,0.00962035194509602,0.107210946555298,0.100639302422544,0.113781626791544,0.11964677748842,0.1232833108741,0.107283080285439,1.01144714248715,1.02219588631991,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"VK_leading_oracle",0.94885,-0.00114999999999998,0.000696661162258957,-0.00076,0.000405210890720696,0.05115,1.01344096548228,0.94795,0.00157068134101096,20000,0.107374855002772,6.80852848735613e-05,0.00962871332662261,0.107302672314843,0.100724476154422,0.113878680936531,0.11974763921006,0.123390713901735,0.107374855002772,1.01231237934791,1.0230703181341,0,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,100000,20000,"F_feasible_leading",0.9489,-0.00109999999999999,0.000696338926098491,-0.00071,0.000415808475102275,0.0511,1.01486667449676,0.9479,0.00157139412624586,20000,0.107495637243125,7.20593250034748e-05,0.0101907274715365,0.107365721600864,0.100409161179009,0.114333656732884,0.120617893765065,0.124521922924367,0.107495637243125,1.01345109433953,1.02422113435694,0,0,0,0
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,16,256,16,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,8,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,16,256,8,100000,20000,"V_feasible",0.94858,-0.00141999999999998,0.000698398049825456,-0.00103,0.000303463856007794,0.05142,1.01472637614598,0.9485,0.00156281396845562,20000,0.106181915799288,3.84341716048751e-05,0.00543541267421892,0.106118594857467,0.102551874021265,0.109810708545196,0.11314997149976,0.115158046882932,0.106181915799288,1.00106554578092,1.04486711418348,0,0,0,0
