"design_id","scenario_id_module","innovation_module","module","panel","series","phi_module","N_module","M_module","Q_module","x_order","alpha_nominal","C_nominal","note","innovation_label_module","dist_code","skewness","excess_kurtosis","assumption_status_module","severity_group_module","phi_label_module","alpha_effective","L_module","seed","scenario_id_result","innovation_result","innovation_label_result","assumption_status_result","severity_group_result","phi_result","phi_label_result","N_result","M_result","Q_result","L_result","B_point","B_CI","statistic","coverage","coverage_error","coverage_mcse","gaussian_paired_coverage_error","gaussian_paired_error_mcse","rejection","mean_statistic_finite","ci_subset_coverage","ci_subset_coverage_mcse","n_finite_lengths","mean_length","mean_length_mcse","sd_length","median_length","q25_length","q75_length","q90_length","q95_length","mean_component_length","normalized_mean_length","relative_mean_length_to_raw","disconnected_rate","nonregular_rate","interval_failure_rate","convex_failure_rate"
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"raw",0.86366,-0.08634,0.00108513319182486,-0.08602,0.000907752078564605,0.13634,1.8352971360172,0.8587,0.00246307034004309,20000,0.672378199848869,0.00090491648311576,0.127974516323727,0.667673573627405,0.583151516799262,0.755651146086165,0.839598047779854,0.889369570988802,0.672378199848869,0.800638715224887,1,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"K_asym_full",0.8618,-0.0881999999999999,0.00109133294644668,-0.08788,0.000915412167165347,0.1382,1.85441481451738,0.85665,0.00247791018299695,20000,0.668813135082489,0.000899993920841443,0.127278360890731,0.664210163531083,0.580049421443816,0.751646359914843,0.835187474561975,0.884538836118515,0.668813135082489,0.796393591163921,0.994697828146152,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"K_leading",0.88115,-0.06885,0.00102335075853785,-0.06853,0.000839370857508387,0.11885,1.66323802951559,0.8772,0.00232077745594014,20000,0.707218059852454,0.00095316096547878,0.134797316450472,0.702287336446838,0.613548493806497,0.795011033061125,0.883242740163798,0.935624626285577,0.707218059852454,0.842124505154059,1.05181586793179,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"V_oracle",0.91924,-0.03076,0.000861613732481093,-0.03044,0.000687850852574854,0.0807600000000001,1.28861288273548,0.9184,0.00193573551912445,20000,0.806215601576024,0.00109171576659258,0.154391924337177,0.800055596332171,0.699199436522666,0.906527687255376,1.00743414043029,1.06867385904074,0.806215601576024,0.960006471930789,1.19905077493178,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"V_feasible",0.89818,-0.05182,0.000956308985631736,-0.0515,0.000785419422243102,0.10182,1.49517594102487,0.8954,0.0021640106284397,20000,0.754008305267618,0.00110501219743891,0.15627232362058,0.747595801241178,0.645596754853373,0.856588721250619,0.957615249623207,1.01909025202883,0.754008305267618,0.897840294248165,1.12140504471605,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"VK_asym_full_oracle",0.91768,-0.0323199999999999,0.000869157164153871,-0.032,0.000693804593274026,0.0823199999999999,1.30203593359731,0.91625,0.0019587743297787,20000,0.801939378395868,0.00108568352388474,0.153538836392282,0.795847621404526,0.695506643397525,0.901667456134337,1.00205307784118,1.06299977607412,0.801939378395868,0.954914531362601,1.19269092688627,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"VK_leading_oracle",0.93135,-0.0186499999999999,0.000799607262973517,-0.01833,0.000651877565531753,0.06865,1.16780542497903,0.9311,0.00179098841425622,20000,0.847970580437064,0.00115085213605546,0.162755069909567,0.841702225894258,0.735034889172477,0.953710119888886,1.06055812762793,1.12504004825439,0.847970580437064,1.00972648462165,1.26115121017853,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"VK_asym_full_feasible",0.89683,-0.0531699999999999,0.000961904106967009,-0.05285,0.000791312224567754,0.10317,1.51075069041055,0.89385,0.00217809753569485,20000,0.749896428073319,0.00109897184870749,0.155418089310836,0.743525218091003,0.642016222617841,0.851872674469122,0.952441866641265,1.01359355878697,0.749896428073319,0.892944049731692,1.11528962158778,0,0,0,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,100000,20000,"F_feasible_leading",0.91224,-0.0377599999999999,0.000894752381388281,-0.03744,0.000728139935642634,0.0877599999999999,1.35500319655379,0.9111,0.00201242130280913,20000,0.794241528246778,0.00116418160133788,0.164640140967725,0.787410421936984,0.680231718533024,0.90206645592755,1.00846659996425,1.0738178510169,0.794241528246778,0.945748266223806,1.18124223602922,0,0,0,9e-05
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,64,8,8,64,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,4,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.5,"phi = 0.5",64,8,8,4,100000,20000,"raw",0.8513,-0.0987,0.00112511470526342,-0.09838,0.000993188612619075,0.1487,2.02673952658195,0.85005,0.00252452963440717,20000,0.681536741717155,0.0013146097490365,0.18591389363153,0.674626082672711,0.551522341300691,0.802777269480435,0.923677533890547,0.999346329914532,0.681536741717155,0.811544308529973,1,0,0,0,0.01142
